indice,nombre,localizacion,año,kilometros recorridos,combustible,transmision,tipo propietario,kilometraje,motor,potencia,asientos,precio
0,Maruti Alto K10 LXI CNG,Delhi,2014,40929,CNG,Manual,First,32.26 km/kg,998.0,58.2,4.0,18.22921787709497
1,Maruti Alto 800 2016-2019 LXI,Coimbatore,2013,54493,Petrol,Manual,Second,24.7 ,796.0,47.3,5.0,18.22921787709497
2,Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017,34000,Diesel,Manual,First,13.68 ,2393.0,147.8,7.0,25.27
3,Toyota Etios Liva GD,Hyderabad,2012,139000,Diesel,Manual,First,23.59 ,1364.0,110.38042013311147,5.0,18.22921787709497
4,Hyundai i20 Magna,Mumbai,2014,29000,Petrol,Manual,First,18.5 ,1197.0,82.85,5.0,18.22921787709497
5,Mahindra XUV500 W8 2WD,Coimbatore,2016,85609,Diesel,Manual,Second,16.0 ,2179.0,140.0,7.0,18.22921787709497
6,Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015,59000,Diesel,Automatic,First,12.55 ,2982.0,168.7,7.0,18.22921787709497
7,Hyundai EON Era Plus,Jaipur,2013,65000,Petrol,Manual,First,21.1 ,814.0,55.2,5.0,18.22921787709497
8,Honda City 1.5 S MT,Mumbai,2011,66000,Petrol,Manual,Second,17.0 ,1497.0,118.0,5.0,18.22921787709497
9,Mahindra XUV500 W6 2WD,Coimbatore,2015,54684,Diesel,Manual,First,15.1 ,2179.0,140.0,7.0,18.22921787709497
10,Audi Q5 2008-2012 2.0 TDI,Mumbai,2012,78000,Diesel,Automatic,Second,12.8 ,1968.0,167.6,5.0,18.22921787709497
11,Hyundai Grand i10 Magna,Jaipur,2016,21000,Petrol,Manual,First,18.9 ,1197.0,82.0,5.0,18.22921787709497
12,Toyota Corolla H5,Chennai,2007,90000,Petrol,Manual,Third,13.4 ,1794.0,125.0,5.0,18.22921787709497
13,Maruti Swift Vdi BSIII,Coimbatore,2008,87628,Diesel,Manual,First,17.8 ,1248.0,75.0,5.0,18.22921787709497
14,Nissan Terrano XL,Mumbai,2014,45000,Petrol,Manual,First,13.24 ,1598.0,102.5,5.0,18.22921787709497
